Sales_ID;name;year;selling_price;km_driven;Region;State or Province;City;fuel;seller_type;transmission;owner;mileage;engine;max_power;torque;seats;sold
6688;Maruti;2006;6500;120000;East;Vermont;Essex Junction;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6859;Maruti;2005;6500;90000;Central;Indiana;Crown Point;Petrol;Individual;Manual;Second_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
7162;Hyundai;2007;6500;70000;South;Florida;New Smyrna Beach;Petrol;Individual;Manual;Third_Owner;15;1086;66,6;10.4@ 3,200(kgm@ rpm);5;N
7314;Tata;2008;6500;110000;South;South Carolina;Rock Hill;Diesel;Individual;Manual;Second_Owner;17,2;1396;53,5;8.5@ 2,500(kgm@ rpm);5;N
7532;Tata;2007;6500;120000;Central;Indiana;Mishawaka;Diesel;Individual;Manual;Third_Owner;17,88;1396;52,8;85Nm@ 2500rpm;5;N
7692;Maruti;2006;6500;198000;Central;Iowa;Dubuque;Petrol;Individual;Manual;Second_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
8021;Tata;2007;6500;120000;Central;Texas;Coppell;Diesel;Individual;Manual;Third_Owner;17,2;1396;53,5;8.5@ 2,500(kgm@ rpm);5;N
3710;Tata;2017;6600;70000;West;California;Lake Elsinore;Petrol;Individual;Manual;Third_Owner;23,9;624;37,48;51Nm@ 4000rpm;4;N
5669;Tata;2008;6700;80000;East;New York;Commack;Diesel;Individual;Manual;Second_Owner;17,2;1396;53,5;8.5@ 2,500(kgm@ rpm);5;N
761;Tata;2006;6750;110000;East;New York;New York City;Diesel;Individual;Manual;Fourth_Above_Owner;17,88;1396;52,8;85Nm@ 2500rpm;5;Y
4373;Opel;1998;6800;110000;West;Washington;Bellevue;Petrol;Individual;Manual;Third_Owner;13,1;1598;77;121Nm@ 2800rpm;5;N
1502;Maruti;2004;7000;70000;Central;Iowa;Waterloo;Petrol;Individual;Manual;Second_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;Y
1856;Tata;2008;7000;100000;Central;Missouri;Clayton;Diesel;Individual;Manual;First_Owner;16,8;1405;62;12.5@ 2,500(kgm@ rpm);5;Y
2762;Maruti;2004;7000;220000;East;Maine;Bangor;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2771;Tata;2009;7000;15000;West;Utah;West Jordan;Petrol;Individual;Manual;First_Owner;26;624;35;48Nm@ 3000rpm;4;N
3460;Maruti;2007;7000;80000;East;Maryland;Olney;Petrol;Individual;Manual;Second_Owner;18,2;1061;64;84Nm@ 3500rpm;5;N
3461;Maruti;2007;7000;80000;East;Maryland;Owings Mills;Petrol;Individual;Manual;Second_Owner;18,2;1061;64;84Nm@ 3500rpm;5;N
3806;Maruti;2006;7000;110000;West;Arizona;Oro Valley;Petrol;Individual;Manual;Fourth_Above_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
3830;Maruti;2005;7000;188000;East;New York;West Islip;Petrol;Individual;Manual;Fourth_Above_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
4048;Tata;2007;7000;110000;South;South Carolina;Rock Hill;Diesel;Individual;Manual;Second_Owner;17,2;1396;53,5;8.5@ 2,500(kgm@ rpm);5;N
4286;Maruti;1998;7000;100000;West;Utah;Midvale;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
4497;Maruti;2003;7000;20000;West;Colorado;Pueblo West;Diesel;Individual;Manual;First_Owner;15,9;1527;57;96Nm@ 2500rpm;5;N
5023;Maruti;2004;7000;150000;Central;Michigan;Eastpointe;Petrol;Individual;Manual;First_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
5499;Maruti;2005;7000;50000;West;Washington;Spokane;Petrol;Individual;Manual;Third_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
5611;Maruti;1998;7000;40000;Central;Illinois;Champaign;Petrol;Individual;Manual;Second_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
5678;Tata;2011;7000;80000;East;New York;Centereach;Diesel;Individual;Manual;Second_Owner;17;1405;71;135Nm@ 2500rpm;5;N
5703;Maruti;1997;7000;100000;South;Florida;Riverview;Petrol;Individual;Manual;Second_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
5879;Tata;2011;7000;40000;East;New York;Plainview;Petrol;Individual;Manual;First_Owner;26;624;35;4.8kgm@ 3000rpm;4;N
6849;Maruti;2004;7000;70000;East;New York;Schenectady;Petrol;Individual;Manual;Second_Owner;19,7;796;46,3;62Nm@ 3000rpm;5;N
6920;Maruti;1999;7000;65000;West;California;Torrance;Petrol;Individual;Manual;Fourth_Above_Owner;15,9;1298;85;110Nm@ 4500rpm;5;N
6921;Maruti;1999;7000;70000;West;California;Torrance;Petrol;Individual;Manual;Fourth_Above_Owner;15,9;1298;85;110Nm@ 4500rpm;5;N
7617;Tata;2012;7000;50000;East;Maine;Lewiston;Petrol;Individual;Manual;Second_Owner;25,4;624;37,48;51Nm@ 4000+/-500rpm;4;N
7625;Tata;2011;7000;80000;East;Maine;Brunswick;Petrol;Individual;Manual;First_Owner;26;624;35;48Nm@ 3000rpm;4;N
7742;Maruti;2008;7000;59400;West;Arizona;Prescott;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2616;Chevrolet;2007;7200;40000;South;Florida;Sarasota;Petrol;Individual;Manual;Second_Owner;18;995;62;90.3Nm@ 4200rpm;5;N
981;Tata;2011;7500;140500;East;Pennsylvania;Philadelphia;Diesel;Individual;Manual;Third_Owner;17,88;1396;52,8;85Nm@ 2500rpm;5;Y
1318;Maruti;2006;7500;60000;West;California;Los Gatos;Petrol;Individual;Automatic;First_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;Y
1380;Maruti;2001;7500;35000;South;Georgia;Atlanta;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
2115;Maruti;2004;7500;46000;Central;Illinois;Pekin;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2497;Maruti;2002;7500;30000;Central;Indiana;Kokomo;Petrol;Individual;Manual;Third_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
2808;Tata;2012;7500;12000;East;Maine;Bangor;Petrol;Individual;Manual;First_Owner;16,84;1193;64,4;99.8Nm@ 2700rpm;5;N
3379;Ambassador;2000;7500;90000;South;Virginia;Arlington;Diesel;Individual;Manual;Second_Owner;12,8;1489;35,5;72.9Nm@ 2250rpm;5;N
3866;Chevrolet;2010;7500;120000;South;Georgia;Athens;Petrol;Individual;Manual;First_Owner;18;995;62;90.3Nm@ 4200rpm;5;N
4182;Tata;2007;7500;100000;East;Connecticut;Waterbury;Petrol;Individual;Manual;Second_Owner;15,3;1193;65,3;102Nm@ 2600rpm;5;N
4646;Maruti;2007;7500;60000;Central;Kansas;Hays;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6418;Honda;2005;7500;120000;Central;Texas;Arlington;Petrol;Individual;Manual;First_Owner;13;1493;100;13.1kgm@ 4600rpm;5;N
7736;Maruti;2008;7500;29000;West;Utah;Logan;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
7685;Chevrolet;2008;7553;80000;East;Pennsylvania;Sharon;Petrol;Individual;Manual;First_Owner;16;995;63;90.3Nm@ 4200rpm;5;N
3662;Tata;2007;7800;38000;West;California;El Dorado Hills;Petrol;Individual;Manual;Second_Owner;15,3;1193;65,3;102Nm@ 2600rpm;5;N
243;Hyundai;2007;8000;120000;East;Pennsylvania;Philadelphia;Petrol;Individual;Manual;Second_Owner;13,2;1495;94;12.5@ 3,500(kgm@ rpm);5;Y
722;Hyundai;2004;8000;120000;West;California;Los Angeles;Petrol;Individual;Manual;Second_Owner;13,2;1495;94;12.5@ 3,500(kgm@ rpm);5;Y
783;Chevrolet;2008;8000;70000;West;California;San Diego;Petrol;Individual;Manual;Second_Owner;15,26;1150;74,9;110Nm@ 4400rpm;5;Y
809;Maruti;2000;8000;70000;Central;Michigan;Detroit;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
1163;Maruti;2005;8000;40000;East;Maine;Brunswick;Petrol;Individual;Manual;Second_Owner;19,7;796;46,3;62Nm@ 3000rpm;5;Y
1218;Tata;2013;8000;30000;Central;Wisconsin;Eau Claire;Petrol;Individual;Manual;First_Owner;25,4;624;37,48;51Nm@ 4000+/-500rpm;4;Y
1736;Maruti;2012;8000;120000;Central;Illinois;Woodridge;Petrol;Individual;Manual;Second_Owner;19,7;796;35;6.1kgm@ 3000rpm;8;Y
2123;Chevrolet;2009;8000;80000;East;Maine;Auburn;Petrol;Individual;Manual;Fourth_Above_Owner;18;995;62;90.3Nm@ 4200rpm;5;N
2328;Maruti;1998;8000;70000;East;Pennsylvania;Erie;Petrol;Individual;Manual;First_Owner;14;796;35;6.1kgm@ 3000rpm;5;N
3026;Maruti;2007;8000;63000;West;California;Vallejo;Petrol;Individual;Automatic;Third_Owner;18,9;1061;67;84Nm@ 3500rpm;5;N
4340;Maruti;2008;8000;100000;Central;Texas;Mansfield;Petrol;Individual;Manual;Third_Owner;17,3;1061;64;8.6@ 3,500(kgm@ rpm);5;N
